IDENTITE_OPERATEUR;CODE_OPERATEUR;SIRET_ACTEUR;RCS_ACTEUR;ADRESSE_COMPLETE_ACTEUR;BESOIN_RES_NUM;DATE_DECLARATION_OPERATEUR
@ction telecom;CTIO;4,51818E+13;Agen;LIEU DIT LA TUQUE   47240 CASTELCULIER   ;0;09/11/2018 00:00
@FER Conseil;AFER;7,50531E+13;VANNES; 9-10 PLACE D’IRLANDE  56860 SENE   ;0;12/09/2014 00:00
+2 COM;2COM;5,10225E+13;Paris; 49 RUE DE PONTHIEU  75008 PARIS   ;0;10/01/2018 00:00
1.0 ACOLA;ACOL;7,49813E+13;NANTERRE; 20 BIS RUE LOUIS PHILIPPE  92200 NEUILLY SUR SEINE   ;0;08/02/2013 00:00
118 218 Le numéro;LNUM;4,78343E+13;Paris; 25 RUE DE LA CLEF  75005 PARIS   ;1;09/11/2004 00:00
118000;TLGT;4,53465E+13;Paris; 137 BOULEVARD DE SEBASTOPOL  75002 PARIS   ;1;15/07/2004 00:00
118500.fr;11FR;8,19272E+13;Marseille; 12 BOULEVARD D ATHENES  13001 MARSEILLE   ;0;18/07/2016 00:00
123 Multimedia;123U;7,98073E+13;TOULOUSE; 9 IMPASSE DU MESCURT  31470 SAINT-LYS   ;0;15/11/2013 00:00
17-Numerique;17N;4,95106E+13;La Rochelle; ZONE INDUSTRIELLE DES QUATRE CHEVALIER  17180 PERIGNY   ;1;18/04/2007 00:00
1913;19131;4,81422E+13;Nanterre;IMMEUBLE LE PELISSIER 218 AVENUE PIERRE BROSSOLETTE  92240 MALAKOFF   ;0;02/03/2018 00:00
1Formatic' Services;1FOR;4,42293E+13;MEAUX B; 5 RUE DE PARIS  77580 VILLIERS SUR MORIN   ;0;23/03/2021 00:00
1NCE GmbH;1NCE; ;HRB 92529 Allemagne;STERNENGASSE 14-16    50676 COLOGNE   ALLEMAGNE;0;05/07/2018 00:00
2 F IMAGE;2FIM;4,01563E+13;DIJON; 3 RUE DES VERGERS  21121 HAUTEVILLE-LES-DIJON   ;0;21/06/2013 00:00
2 SI systemes;2SIS;3,48731E+13;Soissons; 4 PLACE DE LAON  02200 SOISSONS   ;0;19/12/2017 00:00
2C communication;2CIO;8,43746E+13;Paris; 128 RUE DE LA BOETIE  75008 PARIS   ;0;06/12/2018 00:00
2ccom;2CCO;4,43883E+13;STRASBOURG; 2 RUE MAURICE RAVEL  67118 GEISPOLSHEIM   ;0;29/08/2019 00:00
2J digital;2JDI;8,77615E+13;Bobigny; 8/12 RUE DE LISBONNE  93110 ROSNY-SOUS-BOIS   ;0;20/10/2020 00:00
2L Communications;2LCO;5,09477E+13;Bergerac;VIALARD ZAE DU PERIGORD NOIR  24200 CARSAC-AILLAC   ;0;21/12/2020 00:00
2LINFO;2LNF;882761588;Thonon-les-Bains; 33 RUE DU BIEF  74380 BONNE   ;0;20/11/2020 00:00
2RS-Solutions;2RSS;8,15364E+13;Lille; 4 RUE DU PLOUVIER  59175 TEMPLEMARS   ;0;04/04/2019 00:00
2SREI;2SRE;4,83716E+13;Avignon; 558 CHEMIN PIED MARIN N° 1  84380 MAZAN   ;0;19/12/2019 00:00
2WS technologies;2WST;8,30487E+13;Lille Métropole; 1 RUE DU QUAI  59800 LILLE NORD  ;0;30/09/2020 00:00
3 C NET;3CNE;4,49509E+13;Nanterre;IMMEUBLE CRISCO UNO 3-5-7 AVENUE DE LA CRISTALLERIE  92310 SEVRES   ;0;22/04/2010 00:00
31 TELECOM;31TE;7,92287E+13;PARIS; 5 RUE DE CASTIGLIONE  75001 PARIS   ;0;07/05/2013 00:00
3C IP Connect;3CIP;8,80632E+13;Meaux; 30 RUE LEON JOUHAUX  77183 CROISSY BEAUBOURG   ;0;06/08/2020 00:00
3Roam;3ROA;4,84184E+13;Grasse;BUROPOLIS 2 1240 ROUTE DES DOLINES  06560 VALBONNE   ;0;29/03/2017 00:00
3TIC;3TIC;4,41495E+13;Gueret; 25 AVENUE DE LA REPUBLIQUE  23000 GUERET   ;0;19/04/2007 00:00
4 office;4OFF;7,52801E+13;Lisieux; 7 RUE DE GEOLE  14290 ORBEC   ;0;02/07/2020 00:00
440HZ;440H;7,90139E+13;PARIS; 21 RUE JEAN MERMOZ  75008 PARIS   ;1;15/01/2013 00:00
47 fibre;47FI;8,24354E+13;Paris; 78 RUE OLIVIER DE SERRES  75015 PARIS   ;0;12/10/2018 00:00
4call;4CLL;883972978;Aubenas; 277 ROUTE DE BANNE  07460 SAINT PAUL LE JEUNE   ;1;21/06/2020 00:00
4connect;4CNN;8,23675E+13;Nanterre; 2B AVENUE DESFEUX  92100 BOULOGNE BILLANCOURT   ;0;17/04/2020 00:00
512IT;512T;8,82412E+13;Avignon; 652 CHEMIN DE LA PEYRIERE  84120 PERTUIS   ;0;30/03/2020 00:00
6 COM;6COM;4,40256E+13;Bobigny; 78/80 RUE DU DOCTEUR BAUER  93400 SAINT OUEN   ;1;10/11/2004 00:00
6Tek;6TEK;8,39486E+13;Aubenas; 1176 ROUTE DE LA CROIX DU FRAYSSE  07300 CHEMINAS   ;0;31/07/2019 00:00
7 7 24 24;7724;7,99137E+13;Besançon; 9 RUE DE BESANCON  25300 DOUBS   ;0;16/12/2016 00:00
9341-2419 Québec inc;QUEB; ;1171831341; 33 RUE PRINCE  H3C2M7 MONTREAL   CANADA;0;12/02/2019 00:00
A.Arrow;AARR;8,44213E+13;Paris; 35  BOULEVARD DE LA CHAPELLE  75010 PARIS   ;0;30/08/2019 00:00
A.B solutions;ABNS;8,37865E+13;Paris; 26 TER RUE NICOLAI  75012 PARIS   ;0;07/10/2018 00:00
A.C.R.T.;ACRT;4,19962E+13;Villefranche-Tarare; 159 RUE GEORGES MANGIN  69400 VILLEFRANCHE-SUR-SAONE   ;0;18/07/2018 00:00
A.D.I. telephonie;ADIT;4,52172E+13;LE MANS;ZONE ARTISANALE DES NOES 4 RUE DES NOES  72700 SPAY   ;0;08/10/2020 00:00
A.I.L.network du pays d'Autan;AILN; ;W812003435 Albi; 7 RUE MEYER  81200 MAZAMET   ;0;02/01/2012 00:00
A.J. Phone;AJPH;4,19524E+13;Rouen;Z.A. LES PORTES DE L OUEST 9 RUE PIERRE GASSENDI  76150 LA VAUPALIERE   ;0;01/10/2014 00:00
A.M. Paris;AMPR;3,8775E+13;Pontoise; 29 BOULEVARD DU GENERAL DELAMBRE  95870 BEZONS   ;0;19/05/2020 00:00
A.M.I Audit management intégration;AMIA;8,43926E+13;Versailles; 41 BOULEVARD VAUBAN  78280 GUYANCOURT   ;0;20/12/2019 00:00
A2BL SAS;A2BL;8,0771E+13;Tours; 4 RUE DU NOUVEAU CALVAIRE  37100 TOURS   ;0;07/03/2018 00:00
A2C NET PRO;A2CN;5,10598E+13;Limoges; 3 RUE DE LA LIBERTE  87120 EYMOUTIERS   ;0;24/08/2009 00:00
A2COM;A2CM;404072787;Rennes; 1 BOULEVARD DU TRIEUX  35740 PACE   ;0;15/06/2020 00:00
A2IP telecom;A2IP;8,30998E+13;Saverne; 12 RUE D OBERMODERN  67330 OBERMODERN-ZUTZENDORF   ;0;11/06/2018 00:00
A2K informatique;A2KI;5,31737E+13;Chartres; 3 RUE HENRY POTEZ  28100 DREUX   ;0;06/09/2017 00:00
A2LTI;A2LT;4,44741E+13;Orléans; 15 RUE RAYMOND GAUDRY  45140 ST JEAN DE LA RUELLE   ;0;09/04/2020 00:00
A4plus;A4PL;8,14566E+13;Nanterre; 1 BOULEVARD CHARLES DE GAULLE  92700 COLOMBES   ;0;21/01/2019 00:00
A5 Numérique;A5NU;5,1458E+13;Saint-Denis; 187 BOULEVARD ANATOLE FRANCE  93200 SAINT-DENIS   ;0;26/06/2014 00:00
A6telecom France;A6TE;5,0299E+13;Marseille; 58 RUE ST FERREOL  13001 MARSEILLE   ;1;30/10/2015 00:00
A75 NETWORKS;A75N;5,09439E+13;Nanterre;IMMEUBLE CRISCO UNO 3-5-7 AVENUE DE LA CRISTALLERIE  92310 SEVRES   ;0;07/05/2009 00:00
Aabas interactive;AABA;4,00801E+13;PARIS; 93 RUE DE VAUGIRARD  75006 PARIS   ;1;13/08/2012 00:00
AAMT;AAMT;4,09053E+13;Marseille; 21 RUE ANTOINE MAILLE BP 40071 13352 MARSEILLE  CEDEX 05 ;0;03/06/2005 00:00
AB plus;ABPL;4,08221E+13;Nanterre; 183 AVENUE ACHILLE PERETTI  92200 NEUILLY SUR SEINE   ;1;16/02/2012 00:00
AB.Com.Services;AMSV;4,42958E+13;Avignon; AVENUE DES CREMADES  84100 ORANGE   ;0;19/10/2020 00:00
ABALONE;ABAL;4,20115E+13;Lyon;BAT 3 PARC D ACTIVITE G DE LOUP 24 AVENUE JOANNES MASSET  69009 LYON   ;0;04/12/2006 00:00
ABC com;ABCM;4,25055E+13;Chalon-sur-Saône; 22/24 ROUTE DE LYON  71100 SAINT-REMY   ;0;02/07/2014 00:00
ABC Telecoms;ABCT;5,05002E+13;Evreux; 50 RUE DU BOUT DES JARDINS  27100 LE VAUDREUIL   ;0;29/01/2018 00:00
ABCDev;ABCD;8,3326E+13;Nice;MBE 2 AVENUE DURANTE  06000 NICE   ;1;25/03/2020 00:00
ABDEL HALIM OUARTI;AHOU;4,8783E+13; ; 38 RUE DES ALISIERS  21121 DAIX   ;0;25/03/2008 00:00
Abdelhamid HAIED;MSII;4,20287E+13;DOUAI; 44 RUE HENRI DE LUBAC  59400 CAMBRAI   ;0;25/04/2021 00:00
ABEILLE;ABEI;4,18048E+13;Clermont Ferrand; 5 AVENUE MARECHAL LECLERC  63800 COURNON D AUVERGNE   ;0;15/06/2011 00:00
ABERIA TELECOMMUNICATIONS;ABER;3,93421E+13;BEZIERS;PAE MERCORENT 229 RUE ALPHONSE BEAU DE ROCHAS  34500 BEZIERS   ;0;06/05/2013 00:00
ABH telecom;ABHT;8,1445E+13;Paris; 41 BOULEVARD DES CAPUCINES  75002 PARIS   ;0;26/11/2020 00:00
Abicom;ABIC;3,8159E+13;Clermont-Ferrand; 10 ALLEE PIERRE DE FERMAT  63170 AUBIERE   ;0;10/06/2015 00:00
Ablogix;ABGX;4,94586E+13;LE MANS;LIEU DIT BELLA VISTA 2830 ROUTE DE PREVELLES  72110 SAINT CELERIN   ;0;11/09/2015 00:00
About network;ABOU;5,07515E+13;Versailles; 25 ALLEE DE LA ROUVRAIE  78480 VERNEUIL-SUR-SEINE   ;0;19/10/2017 00:00
ABR;ABRA;3,98455E+13;Rouen;PARC D ACTIVITES DE LA VATINE 6 RUE CHARPAK  76130 MONT-SAINT-AIGNAN   ;0;27/12/2019 00:00
ABS CONCEPT;R003;3,93935E+13;Paris; 37 RUE DES MATHURINS  75008 PARIS   ;0;11/01/2005 00:00
AB-secure;ABSC;8,13281E+13;VIENNE ; 135 AVENUE DES CEDRES  38280 VILLETTE D ATNHON   ;0;21/10/2021 00:00
ABSIVAL;ABSI;4,5064E+13;PARIS; 38 RUE DUNOIS  75013 PARIS   ;0;18/06/2012 00:00
ABSOLIGHT;ABSO;4,18565E+13;Paris; 99 R DU FAUBOURG SAINT MARTIN  75010 PARIS   ;0;09/06/2008 00:00
Absys informatique;ABIN;3,9835E+13;Avignon; 385 AVENUE RENE COTY  84300 CAVAILLON   ;0;17/09/2020 00:00
Absystech telecom;ABSY;5,11882E+13;Lille métropole; 139 RUE DES ARTS  59100 ROUBAIX   ;0;20/11/2017 00:00
ABTEL SARL;ABTE;3,98806E+13;Nîmes;KM 4 ROUTE D ARLES  30230 BOUILLARGUES   ;0;16/12/2010 00:00
Abysse;ABYS;3,94542E+13;Nanterre; 7 AVENUE LOMBART  92260 FONTENAY-AUX-ROSES   ;0;07/07/2020 00:00
AC Conseil;ACIL;4,97579E+13;PARIS; 1 RUE JEAN MOREAS  75017 PARIS   ;0;03/07/2013 00:00
AC Télémarketing;ACTG;5,33476E+13;LYON; 32 RUE DE CUIRE  69004 LYON   ;0;02/07/2018 00:00
Access Global Security;ACGS;4,42015E+13;Montpellier;ZAC SAINT ANTOINE 265 RUE DE LA GUARRIGUETTE  34130 SAINT AUNES   ;0;07/03/2018 00:00
ACCESS HEBERGEMENT;ACCH;7,5348E+13;ANNECY;PAE LES GLAISINS 3 RUE DU BULLOZ  74940 ANNECY-LE-VIEUX   ;0;01/10/2012 00:00
Access'operateur;ACOP;8,78339E+13;BORDEAUX;CENTRE SAPHIR 75 PASSAGE DU PARC  33240 SAINT ANDRE DE CUBZAC   ;0;07/11/2019 00:00
Accompagnement réseau service informatique telecom ;ACRS;8,19634E+13;Créteil;RDC DROIT 38 AVENUE AUBERT  94300 VINCENNES   ;0;13/10/2017 00:00
Ace immovation;ACIM;8,32805E+13;Bordeaux; 2 QUAI SAINTE-CROIX  33800 BORDEAUX   ;0;10/12/2017 00:00
ACESI Group;ACEG;5,18927E+13;STRASBOURG; 8B RUE ICARE  67960 ENTZHEIM BAS RHIN  ;0;15/03/2021 00:00
ACETELECOM;ACE;5,09234E+13;Versailles;ZAC DES CETTONS RUE PANHARD LEVASSOR  78570 CHANTELOUP LES VIGNES   ;0;15/02/2010 00:00
Achats conseil;ACHA;4,22126E+13;Lyon; 8 CHEMIN DU JUBIN  69570 DARDILLY   ;0;03/06/2019 00:00
Acipia;ACIP;4,79828E+13;Lille Métropole; 50 GRANDE RUE  59100 ROUBAIX   ;0;04/05/2016 00:00
Acipia Ouest;ACOU;8,31586E+13;Saint-Malo; 54 RUE DU GRAND JARDIN  35400 SAINT-MALO   ;0;12/12/2019 00:00
ACN COMMUNICATIONS FRANCE;ACNC;4,51365E+13;Paris;PARIS LA DEFENSE - TOUR EGEE 9/11 ALLEE DE L'ARCHE  92671 COURBEVOIE  CEDEX ;1;10/03/2006 00:00
Acor telecoms Ouest;ACTO;7,51983E+13;Nantes;IMMEUBLE ASTURIA C 4 RUE EDITH PIAF  44800 SAINT-HERBLAIN   ;0;27/03/2017 00:00
Acrib;ACRI;8,4396E+13;Bordeaux; 68B AVENUE JEAN JAURES  33150 CENON   ;0;11/04/2019 00:00
ACS Multimédia;ACSM;8,43322E+13;Tarbes; 11 BOULEVARD ALSACE  65500 VIC EN BIGORRE   ;0;02/02/2021 00:00
Act service;ACTS;3,31901E+13;La Rochelle;LES MINIMES 18 RUE DE LA BONETTE  17000 LA ROCHELLE   ;0;25/10/2018 00:00
ACTEA TELECOM;ACTE;5,00355E+13;Marseille;PARC D ACTIVITE DE NAPOLLON 230 AVENUE DE PASSE TEMPS  13400 AUBAGNE   ;0;24/09/2009 00:00
ACTEIS;SIET;4,41122E+13;BORDEAUX; 5 AVENUE NEIL ARMSTRONG  33700 MERIGNAC   ;0;15/01/2021 00:00
ACTI PHONE SERVICE;APSE;4,21632E+13;LYON; 43 RUE MARYSE BASTIE  69008 LYON   ;0;08/06/2012 00:00
Actif telecom;AIFT;5,14185E+13;Bordeaux; 29 RUE DE LA PAIX  33150 CENON   ;0;18/07/2014 00:00
ACTIMAGE CONSULTING SAS;ACCO;4,79558E+13;Paris;CASE 1 15 RUE DU LOUVRE  75001 PARIS   ;0;01/04/2008 00:00
ACTISTREAM;ACTR;4,9251E+13;Tours; 192 RUE DE L ERMITAGE  37100 TOURS   ;0;31/07/2009 00:00
Activatel;ACVA;4,88401E+13;Paris; 149 AVENUE DU MAINE  75014 PARIS   ;0;24/03/2017 00:00
Active business developpement ;ACBD;5,04472E+13;Antibes;C/O SELFBURO 92 BOULEVARD PRESIDENT WILSON  06160 ANTIBES   ;0;28/06/2017 00:00
ACTIVE PLUS SOFTWARE;ACSO;4,18336E+13;Perpignan; 5 AVENUE ROGER ROQUEFORT  66320 MARQUIXANES   ;0;06/04/2011 00:00
Activium information design;AIDC;3,39014E+13;Nanterre; 32 RUE FERNAND PELLOUTIER  92110 CLICHY   ;0;20/02/2014 00:00
Activo TI S.L.;ACVO; ;ES B64638364;4 IZQ 171 PASEO DE LA CASTELLANA  28046 MADRID   ESPAGNE;0;06/09/2021 00:00
Activus group;ACTV;8,15358E+13;Toulouse; 1 CHEMIN DU PIGEONNIER DE CEPIERE  31100 TOULOUSE   ;0;02/11/2020 00:00
Actualis informatique;ACOR;8,09204E+13;Metz;ZONE INDUSTRIELLE KRONIMUS ROUTE DE MARANGE  57280 MAIZIERES-LES-METZ   ;0;20/06/2018 00:00
Actuel buro;ACBU;3,07594E+13;Pau;ZI DE SOARNS 87 AVENUE PIERRE MENDES-FRANCE  64304 ORTHEZ  CEDEX ;0;09/10/2019 00:00
Actum;ATUM;5,12217E+13;Nantes; 84 RUE JEAN JAURES  44400 REZE   ;0;09/04/2014 00:00
ADAEL;R005;4,41889E+13;Paris B; 9 RUE D ANJOU  75008 PARIS   ;0;18/11/2003 00:00
Adartec 4I;AD4I;5,32999E+13;Le Mans; 8 RUE DE LA BOULE D OR  72800 LE LUDE   ;0;10/11/2020 00:00
Adaxia;ADAX;7,90946E+13;AIX-EN-PROVENCE; 300 RUE JEAN DE GUIRAMAND  13290 LES MILLES   ;0;18/11/2013 00:00
Add-on consulting;ADON;4,24219E+13;Pontoise; 16 RUE AMPERE  95300 PONTOISE   ;1;14/06/2011 00:00
Add-on multimedia;ADDO;3,9418E+13;orleans; 5 PLACE DU MAUPAS  45130 MEUNG SUR LOIRE   ;1;04/08/2008 00:00
Addrea;ADDR;8,21912E+13;La Rochelle; 1 RUE NEWTON  17440 AYTRE   ;0;21/08/2020 00:00
Adealis;ADEA;4,14358E+13;Paris; 46 RUE DE PROVENCE  75009 PARIS   ;0;01/09/2017 00:00
Adeli;R006;4,33903E+13;Lyon;ZA CHANSTRIVAL ROUTE DE SANDRANS  01990 SAINT TRIVIER SUR MOIGNANS   ;0;07/04/2003 00:00
Adenis;ADIS;4,22266E+13;Paris; 163 AVENUE GALLIENI  93170 BAGNOLET   ;1;30/08/2011 00:00
Adept Technology Group;ATGP; ;4682431; ONE FLEET PLACE  EC4M 7WS LONDON   ROYAUME-UNI;0;05/05/2020 00:00
Adequatic;ADEQ;8,13798E+13;Saint-Pierre ;5 D RUE DU BRAS LONG  97414 ENTRE-DEUX LA REUNION  ;0;26/10/2015 00:00
Adexgroup;ADEX;3,8891E+13;Paris; 4 PLACE DE VALOIS  75001 PARIS   ;0;23/11/2018 00:00
ADI INFORMATIQUE;ADII;4,79406E+13;EVRY; 10 AVENUE DU GENERAL LECLERC  91760 ITTEVILLE   ;0;17/09/2012 00:00
Adion telecom and services;ADIO;8,81629E+13;Lille Métropole ; 29 RUE  DU CHEMIN DE FER  59100 ROUBAIX   ;0;24/06/2020 00:00
ADIPSYS;ADIP;4,9887E+13;Grasse;CICA 2229 ROUTE DES CRÊTES  06560 VALBONNE SOPHIA ANTIPOLIS   ;0;01/03/2012 00:00
Adista;RMII;3,2316E+13;Nancy;ZAC SAINT-JACQUES 9 RUE BLAISE PASCAL  54320 MAXEVILLE   ;1;19/07/2004 00:00
ADLER TECHNOLOGIES;ADLE;4,45337E+13;CRETEIL; 126 RUE DE BRIE  94000 CRETEIL   ;0;14/11/2012 00:00
Adls nexcom;ADNE;8,10026E+13;Paris; 134 AVENUE DE VERSAILLES  75016 PARIS   ;1;23/04/2015 00:00
ADMI Agence de maintenance informatique;ADMI;4,04857E+13;LE HAVRE; AVENUE DU CAMP DOLENT  76700 GONFREVILLE-L'ORCHER   ;0;27/09/2013 00:00
ADMINISTRATION ET GESTION DES SYSTEMES D'INFORMATION;AGSI;4,80627E+13;Brest;TECHNOPOLE BREST IROISE 65 PLACE COPERNIC  29280 PLOUZANE   ;0;24/08/2009 00:00
Administration, Cloud, Assistance, et Déploiement d'Infrastructures Réseaux;ACAD;8,17953E+13;Lons-le-Saunier; 31 RUE JULIEN FEUVRIER  39100 DOLE   ;0;10/12/2019 00:00
ADN Bureautique;ADNB;8,52567E+13;Paris; 33 RUE TRUFFAUT  75017 PARIS   ;0;16/11/2020 00:00
Adn systemes;ADNS;7,50248E+13;Troyes; 106 AVENUE GALLIENI  10300 SAINTE-SAVINE   ;0;12/11/2018 00:00
Adour bureau;ADOU;9,65807E+12;Pau; 106 BOULEVARD TOURASSE  64000 PAU   ;0;08/03/2019 00:00
Adquat;ADAT;4,80725E+13;Saint-Etienne; 1 PLACE DE L'HOTEL DE VILLE  42400 SAINT-CHAMOND   ;0;04/04/2018 00:00
ADS;ADSS;7,65206E+12;Chambéry;CHALET DES VILLARDS LES ARCS 1800  73700 BOURG-SAINT-MAURICE   ;0;27/11/2015 00:00
ADTIM;ADTI;5,07388E+13;Romans;ALIXAN 5 AVENUE DE LA GARE BP 10385 26958 VALENCE  CEDEX 9 ;0;05/08/2008 00:00
Adtim FTTH;ADTH;8,24578E+13;Romans; 42 AVENUE DES LANGORIES  26000 VALENCE   ;0;13/06/2017 00:00
ADVANCED CARIBBEAN TECHNOLOGIES;ADCT;7,92547E+13;MEAUX; 4 BIS RUE EMILE BATAILLE  77410 MESSY   ;0;08/05/2013 00:00
ADVANCED DATA WIRELESS NETWORK;ADWN;4,47617E+13;LYON; 5 RUE JEAN-BAPTISTE DURAND  69100 VILLEURBANNE   ;0;29/08/2012 00:00
ADVANCED INTEGRATED NETWORK SYSTEMS;AINS;3,99274E+13;Paris;PARC CLUB D ARIANE 2 RUE HELENE BOUCHER  78280 GUYANCOURT   ;0;15/04/2010 00:00
Advanced system solutions;A2ST;7,52761E+13;Paris; 78 AVENUE RAYMOND POINCARE  75116 PARIS   ;0;24/07/2014 00:00
ADVENCEO;ADVE;4,88449E+13;TULLE; 1 RUE LEONARD BUNISSET  19510 MASSERET   ;0;17/03/2008 00:00
Adverline;ADLI;4,28723E+13;Paris; 5 RUE DE LA TERRASSE  75017 PARIS   ;0;05/02/2018 00:00
Aera telecom;AERA;7,53399E+13;Paris; 320 RUE SAINT HONORE  75001 PARIS   ;1;12/10/2015 00:00
Aerlink;AERL;8,13848E+13;Saint-Nazaire; 2 CHEMIN DU PETIT QUARTIER  44320 FROSSAY   ;0;04/04/2016 00:00
Aéroport de Montpellier Méditerranée;AMME;5,08364E+13;Montpellier;CENTRE AFFAIRES AEROPORT MONTPELLIER CS 10001 34137 MAUGUIO  CEDEX ;0;19/11/2020 00:00
Aetia informatique;AETI;4,82832E+13;Lorient;BATIMENT CELTIC SUBMARINE 3 RUE DU SOUS-MARIN VENUS  56100 LORIENT   ;0;19/04/2016 00:00
AF telecoms;AFTE;7,9358E+13;Caen;IMMEUBLE J. MONNET 8 PLACE DE L'EUROPE  14200 HEROUVILLE-SAINT-CLAIR   ;0;13/10/2017 00:00
Affiliate network solution;AFNS; ;204385780 Plovdiv ; BUL. DRAGAN TSANKOV 31A, AP.1  1113 SOFIA   BULGARIE;1;13/12/2018 00:00
Afone Infrastructure;AFIN;7,99202E+13;Angers; 11 PLACE FRANCOIS MITTERAND  49100 ANGERS   ;1;30/01/2015 00:00
Afone participations;AFON;4,11069E+13;Angers; 11 PLACE FRANCOIS MITTERRAND CS 11024 49055 ANGERS  CEDEX 02 ;1;17/11/2004 00:00
Afritelec;AFEC;8,00659E+13;Evry; 18 RUE GUSTAVE EIFFEL  91100 CORBEIL-ESSONNES   ;1;27/03/2018 00:00
AGARIK SA;AGAR;4,33082E+13;Nanterre; 20 RUE DIEUMEGARD  93400 SAINT-OUEN   ;0;28/06/2005 00:00
Agence d'électronique;AGCE;4,98836E+13;Limoges ;RESIDENCE LA FONTAINE 96 AVENUE EMILE LABUSSIERE  87100 LIMOGES   ;0;06/03/2019 00:00
Agence d'investissement et de développement logiciel;AIDL;5,29333E+13;ROANNE; 947 ROUTE DE POUILLY  42370 RENAISON   ;0;05/06/2014 00:00
Agence MC;AGMC;8,90901E+13;Nanterre; 33 AVENUE VICTOR CRESSON  92130 ISSY-LES-MOULINEAUX   ;0;06/04/2021 00:00
Agence premium;MPIC;5,19322E+13;CRÉTEIL; 13 RUE CHEVREUL  94700 MAISONS-ALFORT   ;0;13/05/2014 00:00
Agence Unicom;AGUN;7,94908E+13;TOULON; 135 IMPASSE DU CHASSELAS  83210 LA FARLEDE   ;0;18/10/2013 00:00
Agence22;AG22; ;492041736 Le Mans; 9 RESIDENCE LES SOURCES DE GRAIS  14100 BEUVILLERS   ;0;12/06/2017 00:00
Agendize;DIZE;4,49162E+13;Troyes; 3 BOULEVARD DE L OUEST  10600 LA-CHAPELLE-SAINT-LUC   ;0;26/05/2014 00:00
Agglo La Rochelle THD;ALRT;8,44199E+13;Paris; 16 RUE DU GENERAL ALAIN DE BOISSIEU  75015 PARIS   ;0;28/12/2018 00:00
AGILITAS IT;AGIL;7,92482E+13;PARIS; 14 RUE CHARLES V  75004 PARIS   ;0;30/08/2013 00:00
Agiltech;AGLT;4,79398E+13;Marseille; 22 AVENUE ANDRE ROUSSIN  13016 MARSEILLE   ;0;30/11/2020 00:00
Agoratel;AGOR;5,29178E+13;VERSAILLES; 2 RUE GEORGE SAND  78112 FOURQUEUX   ;0;20/09/2018 00:00
AIC Telecoms;AICT;7,52617E+13;PARIS; 55 BOULEVARD PEREIRE  75017 PARIS   ;1;06/11/2012 00:00
Aide a domicile - AAFP/CSF;AAFP; ;0723001347 ASSO enregistré dans SARTHE; 11 RUE PIED DE SEC  72000 LE MANS   ;0;21/02/2013 00:00
AID'O PC HOME & PRO;AIDO;4,94491E+13;Conde sur Noireau; 611BIS RUE PAUL BOUCHEROT  14123 IFS   ;0;16/02/2009 00:00
AILAIR;AILA;3,39864E+13;GRENOBLE;IMMEUBLE LE MARVAL 48 AVENUE DU GRESIVAUDAN  38700 CORENC   ;0;11/02/2013 00:00
AIN MATERIELS INFORMATIQUES & ELECTRONIQUES;AMIE;4,19266E+13;BOURG-EN-BRESSE; 18 PLACE DU 8 MAI  01500 AMBERIEU EN BUGEY   ;0;14/12/2012 00:00
Airbus defence and space SAS;ASSA;3,93342E+13;Toulouse;ZI DU PALAYS 31 RUE DES COSMONAUTES  31042 TOULOUSE  CEDEX 4 ;1;22/02/2010 00:00
Aircall;AIRC;8,07438E+13;Paris; 11-15 RUE SAINT GEORGES  75009 PARIS   ;0;26/02/2019 00:00
Aircom;AIOM;8,88804E+13;Montpellier;ZA FREJORGUES EST-LE RAJOL 95 RUE DU RAJOL  34130 MAUGUIO   ;0;13/09/2020 00:00
Airmob;AIRM;8,23065E+13;Toulouse; 1 RUE DES PENITENTS BLANCS BP 71028 31010 TOULOUSE  CEDEX 6 ;1;17/10/2016 00:00
Airmob Infra Full;AIFL;8,91196E+13;Toulouse; 29 RUE PIERRE PAUL RIQUET  31000 TOULOUSE   ;1;24/11/2020 00:00
Airmont mobile communication services;AMCS;8,24388E+13;Pontoise;BATIMENT C 12-14 AVENUE LOUIS ARMAND  95120 ERMONT   ;0;11/01/2017 00:00
Airnity ;AIRN;8,93396E+13;Cannes;VILLA HADALAUR 751 CHEMIN DE PIGRANEL  06250 MOUGINS   ;1;28/01/2021 00:00
Airx technologies Limited;AIRX; ;N° 10845130 London;CITY ROAD 160 KEMP HOUSE   EC1V 2NX LONDON   TERRITOIRES DU ROYAUME-UNI AUX ANTILLE;0;04/09/2018 00:00
Aisne THD;AISN;8,12584E+13;Versailles; 19 RUE STEPHENSON  78180 MONTIGNY LE BRETONNEUX   ;0;15/10/2015 00:00
Ait;AITA;8,38867E+13;Paris;IMMEUBLE ARTOIS 11 RUE DE CAMBRAI CS 90042 75947 PARIS  19 ;0;30/08/2019 00:00
AJ telecom;AJTE;4,8137E+13;Douai; 379 RUE DE L ELPRET  59870 MARCHIENNES   ;0;26/12/2017 00:00
AJP35;AJPP;3,82087E+13;RENNES; 15 RUE DE BRAY  35510 CESSON SEVIGNE   ;0;11/05/2021 00:00
Akinea internet;AKIN;4,32455E+13;Versailles; 5 RUE DU CHANT DES OISEAUX  78360 MONTESSON   ;1;24/08/2007 00:00
